# generated by generate_fluctuations.py
# config: configs/multiscan_lorentzian.yaml
# seed=12345 length_m=0.008 dx_m=5e-06 rho=0.5
# dW: {'type': 'lorentzian', 'sigma': 0.05, 'tau_m': 0.0002}
# dD: {'type': 'lorentzian', 'sigma': 0.06, 'tau_m': 0.0002}
# empirical: sigma_W=5.0000e-02 sigma_D=6.0000e-02 corr=+0.5001
# columns: s[m]   dW_over_W   dD_over_D
3.650000000e-04  2.507792e-02  -6.561849e-02
3.700000000e-04  -6.511767e-03  -7.057265e-02
3.750000000e-04  -2.390704e-02  -6.661020e-02
3.800000000e-04  -4.035292e-02  -6.331581e-02
3.850000000e-04  -5.790806e-02  -7.653049e-02
3.900000000e-04  -5.479431e-02  -7.977604e-02
3.950000000e-04  -5.216735e-02  -6.723233e-02
4.000000000e-04  -4.723611e-02  -6.914175e-02
4.050000000e-04  -3.496065e-02  -3.320088e-02
4.100000000e-04  -3.654995e-02  -1.790919e-02
4.150000000e-04  -3.742317e-02  -1.184236e-02
4.200000000e-04  -4.914653e-02  6.226656e-03
4.250000000e-04  -3.883735e-02  2.219377e-02
4.300000000e-04  -2.486573e-02  4.158727e-02
4.350000000e-04  -2.964590e-02  3.331097e-02
4.400000000e-04  -8.830664e-03  2.470830e-02
4.450000000e-04  5.499876e-03  2.659667e-02
4.500000000e-04  -8.499582e-03  2.941435e-02
4.550000000e-04  -1.031233e-02  3.551047e-02
4.600000000e-04  -4.907039e-04  6.849135e-02
4.650000000e-04  -7.004882e-03  6.446564e-02
4.700000000e-04  -2.823598e-03  8.303193e-02
4.750000000e-04  -2.160095e-03  9.459042e-02
4.800000000e-04  -1.012416e-02  9.242272e-02
4.850000000e-04  -3.335918e-03  9.810461e-02
4.900000000e-04  1.110343e-02  8.831376e-02
4.950000000e-04  1.848789e-02  6.961604e-02
5.000000000e-04  2.245535e-02  4.271418e-02
5.050000000e-04  1.273329e-02  3.341913e-02
5.100000000e-04  2.257743e-02  4.430030e-02
5.150000000e-04  2.829849e-02  5.381349e-02
5.200000000e-04  3.167816e-02  6.662650e-02
5.250000000e-04  3.438550e-02  5.128458e-02
5.300000000e-04  5.089468e-02  5.822188e-02
5.350000000e-04  5.044429e-02  5.324324e-02
5.400000000e-04  3.425134e-02  3.937117e-02
5.450000000e-04  3.713735e-02  4.750214e-02
5.500000000e-04  2.644788e-02  3.898488e-02
5.550000000e-04  1.684521e-02  3.473993e-02
5.600000000e-04  2.494282e-02  1.149966e-02
5.650000000e-04  3.928041e-02  -6.745116e-03
5.700000000e-04  3.368837e-02  -3.655648e-02
5.750000000e-04  4.902497e-02  -3.742879e-02
5.800000000e-04  7.231255e-02  -2.062304e-02
5.850000000e-04  6.749144e-02  6.726107e-03
5.900000000e-04  5.873814e-02  -2.725547e-03
5.950000000e-04  5.824958e-02  -1.323113e-03
6.000000000e-04  5.710470e-02  -1.089753e-02
6.050000000e-04  6.072368e-02  -2.527130e-02
6.100000000e-04  6.346028e-02  -2.307229e-02
6.150000000e-04  6.435212e-02  -1.936304e-02
6.200000000e-04  6.002166e-02  6.482743e-03
6.250000000e-04  5.883902e-02  1.622708e-02
6.300000000e-04  3.796728e-02  2.611730e-02
6.350000000e-04  3.653682e-02  2.951705e-02
6.400000000e-04  4.492379e-02  4.535608e-02
6.450000000e-04  3.524035e-02  4.137140e-02
6.500000000e-04  4.630704e-02  5.152744e-02
6.550000000e-04  1.631491e-02  2.765611e-02
6.600000000e-04  1.680531e-02  4.802045e-02
6.650000000e-04  2.601755e-02  6.278079e-02
6.700000000e-04  9.216322e-03  3.394519e-02
6.750000000e-04  2.216005e-02  3.322154e-02
6.800000000e-04  -3.107999e-03  1.500281e-02
6.850000000e-04  -2.989723e-03  -1.396425e-02
6.900000000e-04  4.233280e-04  -9.244831e-03
6.950000000e-04  2.465882e-02  1.402162e-02
7.000000000e-04  3.127840e-02  2.490167e-02
7.050000000e-04  3.586426e-02  3.957797e-02
7.100000000e-04  2.463926e-02  4.209053e-02
7.150000000e-04  3.812054e-02  4.471349e-02
7.200000000e-04  4.648902e-02  3.589621e-02
7.250000000e-04  5.101827e-02  3.482343e-02
7.300000000e-04  4.331300e-02  2.780353e-02
7.350000000e-04  4.611435e-02  1.711570e-02
7.400000000e-04  2.831731e-02  -9.004613e-03
7.450000000e-04  9.671139e-03  -2.536757e-02
7.500000000e-04  3.149650e-02  -1.084222e-02
7.550000000e-04  4.478968e-02  -9.278190e-03
7.600000000e-04  6.116373e-02  4.776789e-03
7.650000000e-04  6.225994e-02  1.248157e-02
7.700000000e-04  7.485112e-02  1.662638e-02
7.750000000e-04  7.728108e-02  1.760558e-02
7.800000000e-04  8.036221e-02  1.492569e-02
7.850000000e-04  6.602828e-02  -8.212272e-03
7.900000000e-04  4.538739e-02  -3.008336e-02
7.950000000e-04  3.785391e-02  -4.939717e-02
8.000000000e-04  4.222099e-02  -4.959067e-02
8.050000000e-04  3.882571e-02  -5.875475e-02
8.100000000e-04  5.601330e-02  -3.165712e-02
8.150000000e-04  7.668347e-02  -1.527857e-02
8.200000000e-04  7.876929e-02  -2.331982e-04
8.250000000e-04  7.926696e-02  -7.397375e-03
8.300000000e-04  9.782598e-02  1.986547e-03
8.350000000e-04  9.089171e-02  -2.539383e-02
8.400000000e-04  7.892893e-02  -2.061473e-02
8.450000000e-04  4.795514e-02  -3.072794e-02
8.500000000e-04  5.477759e-02  -3.576900e-02
8.550000000e-04  6.938137e-02  -1.193673e-02
8.600000000e-04  7.585030e-02  -1.828284e-02
8.650000000e-04  6.408093e-02  -2.274790e-02
8.700000000e-04  7.068805e-02  -1.860836e-02
8.750000000e-04  7.237803e-02  -2.341320e-02
8.800000000e-04  6.735480e-02  -2.480903e-02
8.850000000e-04  6.795126e-02  -1.431643e-02
8.900000000e-04  4.646895e-02  -5.718721e-03
8.950000000e-04  5.291668e-02  -2.151590e-02
9.000000000e-04  4.377277e-02  -3.373529e-02
9.050000000e-04  4.470151e-02  -3.440601e-02
9.100000000e-04  3.354636e-02  -4.710284e-02
9.150000000e-04  2.258919e-02  -3.616074e-02
9.200000000e-04  1.746944e-02  -2.274255e-02
9.250000000e-04  2.804635e-02  2.112637e-03
9.300000000e-04  2.979387e-02  -4.867238e-03
9.350000000e-04  9.907782e-03  -2.506723e-02
9.400000000e-04  -7.808062e-03  -3.766010e-02
9.450000000e-04  -5.292694e-03  -2.681762e-02
9.500000000e-04  -7.819205e-03  -1.932091e-02
9.550000000e-04  -1.895333e-02  -2.497643e-02
9.600000000e-04  -2.394713e-02  -1.767556e-02
9.650000000e-04  -2.353041e-02  -1.426264e-02
9.700000000e-04  -4.428129e-02  -2.115055e-02
9.750000000e-04  -5.097181e-02  -3.356239e-02
9.800000000e-04  -4.111769e-02  -4.702220e-02
9.850000000e-04  -2.420985e-02  -2.792813e-02
9.900000000e-04  -8.634595e-03  -9.135726e-03
9.950000000e-04  -1.717694e-02  -2.226594e-02
1.000000000e-03  -2.742435e-02  -2.616044e-02
1.005000000e-03  -2.365486e-02  -2.337624e-02
1.010000000e-03  -2.392185e-02  -1.618655e-02
1.015000000e-03  -2.805829e-02  -1.209037e-02
1.020000000e-03  1.532261e-02  1.483683e-02
1.025000000e-03  2.316435e-02  1.782780e-02
1.030000000e-03  2.730607e-02  1.594659e-02
1.035000000e-03  2.785630e-02  -1.479074e-03
1.040000000e-03  1.961393e-02  1.061018e-02
1.045000000e-03  -5.370173e-03  -1.453465e-02
1.050000000e-03  -3.409787e-03  -2.077000e-02
1.055000000e-03  -8.759099e-04  -1.246587e-02
1.060000000e-03  1.627448e-02  3.053065e-03
1.065000000e-03  2.392009e-02  1.615679e-02
1.070000000e-03  2.113330e-02  2.843566e-02
1.075000000e-03  1.407838e-02  3.695986e-02
1.080000000e-03  1.425610e-02  3.657241e-02
1.085000000e-03  2.982572e-02  6.490700e-02
1.090000000e-03  3.826253e-02  6.055880e-02
1.095000000e-03  4.079591e-02  5.686802e-02
1.100000000e-03  4.612493e-02  5.183721e-02
1.105000000e-03  5.869032e-02  2.412709e-02
1.110000000e-03  5.339192e-02  3.352283e-02
1.115000000e-03  3.857086e-02  2.263140e-02
1.120000000e-03  4.869481e-02  3.483328e-02
1.125000000e-03  2.977881e-02  -8.697264e-03
1.130000000e-03  2.524218e-03  -3.044503e-02
1.135000000e-03  3.291151e-03  -1.849091e-02
1.140000000e-03  1.292093e-02  -1.619666e-02
1.145000000e-03  1.419429e-02  -1.145503e-02
1.150000000e-03  1.973595e-02  8.021079e-04
1.155000000e-03  2.725895e-02  -2.563349e-03
1.160000000e-03  3.075807e-02  -3.383739e-02
1.165000000e-03  1.159490e-02  -5.759488e-02
1.170000000e-03  2.863371e-03  -6.461846e-02
1.175000000e-03  2.756572e-03  -5.894085e-02
1.180000000e-03  -1.310245e-02  -7.723355e-02
1.185000000e-03  -3.134110e-02  -7.646208e-02
1.190000000e-03  -6.499152e-02  -9.114312e-02
1.195000000e-03  -7.261311e-02  -7.810008e-02
1.200000000e-03  -8.416436e-02  -8.324264e-02
1.205000000e-03  -7.371205e-02  -1.001507e-01
1.210000000e-03  -6.379446e-02  -8.298922e-02
1.215000000e-03  -6.791261e-02  -7.570831e-02
1.220000000e-03  -7.114182e-02  -6.734037e-02
1.225000000e-03  -7.019847e-02  -7.006281e-02
1.230000000e-03  -6.457196e-02  -6.772875e-02
1.235000000e-03  -5.292428e-02  -5.855086e-02
1.240000000e-03  -5.430969e-02  -5.412700e-02
1.245000000e-03  -4.683661e-02  -5.574414e-02
1.250000000e-03  -3.738816e-02  -4.549156e-02
1.255000000e-03  -2.389607e-02  -4.567657e-02
1.260000000e-03  -5.243409e-03  -3.191617e-02
1.265000000e-03  1.236507e-03  -3.433901e-02
1.270000000e-03  -9.105019e-03  -3.421085e-02
1.275000000e-03  7.857159e-03  -4.154780e-02
1.280000000e-03  2.888168e-03  -3.561964e-02
1.285000000e-03  -7.810920e-03  -4.648262e-02
1.290000000e-03  -1.158236e-02  -7.173451e-02
1.295000000e-03  -5.111033e-04  -6.907140e-02
1.300000000e-03  -8.714158e-03  -7.675451e-02
1.305000000e-03  -3.270946e-02  -7.474414e-02
1.310000000e-03  -8.169449e-03  -4.694797e-02
1.315000000e-03  -1.708429e-02  -5.005528e-02
1.320000000e-03  -2.353518e-02  -5.784463e-02
1.325000000e-03  -1.691458e-02  -4.579154e-02
1.330000000e-03  -2.638921e-02  -4.660286e-02
1.335000000e-03  -3.206625e-02  -5.110226e-02
1.340000000e-03  -2.184374e-02  -3.580237e-02
1.345000000e-03  -1.984969e-02  -3.744108e-02
1.350000000e-03  -3.092852e-02  -5.808596e-02
1.355000000e-03  -3.558683e-02  -5.841064e-02
1.360000000e-03  -4.763879e-02  -6.587440e-02
1.365000000e-03  -3.313037e-02  -6.833716e-02
1.370000000e-03  9.612836e-04  -6.809322e-02
1.375000000e-03  1.601532e-02  -4.921849e-02
1.380000000e-03  2.870511e-03  -5.680403e-02
1.385000000e-03  1.320907e-02  -4.878269e-02
1.390000000e-03  1.751979e-02  -6.974170e-02
1.395000000e-03  1.281178e-02  -7.156709e-02
1.400000000e-03  -1.738748e-03  -8.056153e-02
1.405000000e-03  -2.712359e-02  -7.481432e-02
1.410000000e-03  -5.340206e-02  -7.718854e-02
1.415000000e-03  -7.083056e-02  -9.934471e-02
1.420000000e-03  -6.451231e-02  -9.417075e-02
1.425000000e-03  -3.591747e-02  -5.608201e-02
1.430000000e-03  -3.291301e-02  -5.265585e-02
1.435000000e-03  -3.091705e-02  -5.902799e-02
1.440000000e-03  -5.640189e-03  -3.265428e-02
1.445000000e-03  -3.488833e-02  -6.237391e-02
1.450000000e-03  -4.854282e-02  -6.435086e-02
1.455000000e-03  -3.980260e-02  -7.042600e-02
1.460000000e-03  -4.591627e-02  -8.541110e-02
1.465000000e-03  -5.353263e-02  -8.482099e-02
1.470000000e-03  -5.515306e-02  -7.041639e-02
1.475000000e-03  -4.866467e-02  -4.852394e-02
1.480000000e-03  -5.082619e-02  -5.837256e-02
1.485000000e-03  -4.743660e-02  -6.152510e-02
1.490000000e-03  -4.022652e-02  -5.815710e-02
1.495000000e-03  -1.904681e-02  -4.042635e-02
1.500000000e-03  -1.014854e-02  -3.796155e-02
1.505000000e-03  -1.140398e-02  -3.430422e-02
1.510000000e-03  7.567254e-05  -4.411983e-02
1.515000000e-03  1.386954e-02  -4.968829e-02
1.520000000e-03  1.466604e-02  -3.852976e-02
1.525000000e-03  2.400514e-02  -3.875517e-03
1.530000000e-03  3.105995e-02  -4.346594e-03
1.535000000e-03  5.323127e-02  2.166182e-02
1.540000000e-03  5.846767e-02  2.892362e-02
1.545000000e-03  6.622824e-02  3.931476e-02
1.550000000e-03  4.503736e-02  3.220946e-02
1.555000000e-03  4.707630e-02  4.396587e-02
1.560000000e-03  3.139332e-02  2.303017e-02
1.565000000e-03  4.172314e-02  2.170950e-02
1.570000000e-03  3.657340e-02  1.202739e-02
1.575000000e-03  6.558139e-02  3.594278e-02
1.580000000e-03  7.437909e-02  4.666657e-02
1.585000000e-03  5.988099e-02  3.559782e-02
1.590000000e-03  6.248381e-02  3.069598e-02
1.595000000e-03  6.525323e-02  2.111108e-02
1.600000000e-03  4.108189e-02  4.252304e-03
1.605000000e-03  4.680753e-02  1.752035e-02
1.610000000e-03  3.933029e-02  1.986375e-02
1.615000000e-03  5.046748e-02  3.703828e-02
1.620000000e-03  5.677292e-02  2.889154e-02
1.625000000e-03  5.160842e-02  2.059137e-02
1.630000000e-03  5.192244e-02  3.971449e-02
1.635000000e-03  5.140444e-02  5.527075e-02
1.640000000e-03  5.339691e-02  6.416809e-02
1.645000000e-03  5.196502e-02  5.306050e-02
1.650000000e-03  4.147139e-02  4.186410e-02
1.655000000e-03  5.515557e-02  5.836115e-02
1.660000000e-03  3.765307e-02  5.544852e-02
1.665000000e-03  2.986270e-02  5.332384e-02
1.670000000e-03  2.278642e-02  4.743063e-02
1.675000000e-03  2.850375e-02  5.142597e-02
1.680000000e-03  7.440052e-03  1.455341e-02
1.685000000e-03  -1.509546e-02  6.652633e-03
1.690000000e-03  -1.065809e-02  -9.233020e-03
1.695000000e-03  -8.456201e-03  5.205782e-04
1.700000000e-03  -1.093815e-02  -3.186393e-03
1.705000000e-03  -1.445460e-02  -1.197999e-02
1.710000000e-03  -1.327615e-02  -2.594164e-03
1.715000000e-03  -3.782233e-02  -2.665880e-02
1.720000000e-03  -5.094713e-02  -2.860200e-02
1.725000000e-03  -5.512622e-02  -2.936192e-02
1.730000000e-03  -8.537980e-02  -3.684004e-02
1.735000000e-03  -9.338597e-02  -4.561766e-02
1.740000000e-03  -1.057366e-01  -5.271722e-02
1.745000000e-03  -1.102359e-01  -4.714576e-02
1.750000000e-03  -9.223287e-02  -3.678083e-02
1.755000000e-03  -9.512942e-02  -5.263376e-02
1.760000000e-03  -1.036915e-01  -5.925559e-02
1.765000000e-03  -1.142932e-01  -5.742663e-02
1.770000000e-03  -9.766377e-02  -6.253753e-02
1.775000000e-03  -8.947202e-02  -6.583608e-02
1.780000000e-03  -8.012808e-02  -6.490702e-02
1.785000000e-03  -8.434324e-02  -6.082126e-02
1.790000000e-03  -4.694008e-02  -1.299791e-02
1.795000000e-03  -4.124913e-02  -2.543379e-02
1.800000000e-03  -4.879101e-02  -3.801960e-02
1.805000000e-03  -3.521378e-02  -2.485124e-02
1.810000000e-03  -3.269588e-02  -2.622919e-02
1.815000000e-03  -3.876412e-02  -3.696302e-02
1.820000000e-03  -3.223250e-02  -1.815408e-02
1.825000000e-03  -2.981920e-02  -8.691729e-03
1.830000000e-03  -4.130066e-02  -1.352176e-02
1.835000000e-03  -4.041287e-02  1.162911e-04
1.840000000e-03  -6.128670e-02  1.250643e-02
1.845000000e-03  -5.176136e-02  2.841465e-02
1.850000000e-03  -4.828897e-02  4.190801e-02
1.855000000e-03  -5.469849e-02  4.953125e-02
1.860000000e-03  -4.869513e-02  5.598117e-02
1.865000000e-03  -4.290684e-02  4.963074e-02
1.870000000e-03  -3.866746e-02  7.408965e-02
1.875000000e-03  -6.012398e-02  7.515998e-02
1.880000000e-03  -4.682605e-02  1.028056e-01
1.885000000e-03  -4.901128e-02  9.573521e-02
1.890000000e-03  -5.259038e-02  9.756445e-02
1.895000000e-03  -3.016043e-02  1.191037e-01
1.900000000e-03  -3.395558e-02  1.145929e-01
1.905000000e-03  -4.541381e-02  9.939545e-02
1.910000000e-03  -4.711030e-02  8.719244e-02
1.915000000e-03  -3.968575e-02  8.107317e-02
1.920000000e-03  -3.217240e-02  8.498709e-02
1.925000000e-03  -2.892768e-02  7.979340e-02
1.930000000e-03  -2.313338e-02  6.891837e-02
1.935000000e-03  3.666421e-03  9.235367e-02
1.940000000e-03  7.816767e-03  7.789568e-02
1.945000000e-03  -9.558617e-03  4.700806e-02
1.950000000e-03  -7.749821e-03  3.796863e-02
1.955000000e-03  -1.019010e-02  2.283144e-02
1.960000000e-03  -4.341330e-03  2.026852e-02
1.965000000e-03  2.621678e-04  3.576207e-02
1.970000000e-03  -5.602917e-03  1.925366e-02
1.975000000e-03  -4.488357e-03  2.211643e-02
1.980000000e-03  4.214153e-03  3.159600e-02
1.985000000e-03  2.754473e-03  2.424330e-02
1.990000000e-03  8.988346e-03  3.314225e-02
1.995000000e-03  4.998316e-03  2.600803e-02
2.000000000e-03  2.422938e-02  4.021864e-02
2.005000000e-03  4.633182e-02  2.999811e-02
2.010000000e-03  5.825117e-02  3.581859e-02
2.015000000e-03  8.989999e-02  6.261327e-02
2.020000000e-03  9.272579e-02  4.058588e-02
2.025000000e-03  6.576101e-02  3.177692e-02
2.030000000e-03  6.353552e-02  2.297913e-02
2.035000000e-03  5.572192e-02  2.332045e-02
2.040000000e-03  5.466559e-02  1.342364e-02
2.045000000e-03  3.990957e-02  -1.498664e-02
2.050000000e-03  4.126828e-02  1.369719e-03
2.055000000e-03  3.316798e-02  1.077035e-02
2.060000000e-03  1.559437e-02  -2.352885e-03
2.065000000e-03  1.809340e-02  -1.065234e-02
2.070000000e-03  1.539949e-02  -1.779862e-02
2.075000000e-03  1.288989e-02  -1.801439e-02
2.080000000e-03  4.247330e-03  -1.608461e-02
2.085000000e-03  5.385844e-03  -2.205366e-02
2.090000000e-03  8.723610e-03  -3.101549e-02
2.095000000e-03  1.814610e-02  -2.455967e-02
2.100000000e-03  1.424412e-02  -1.546239e-02
2.105000000e-03  1.344063e-02  -4.957643e-03
2.110000000e-03  2.695740e-02  5.570562e-03
2.115000000e-03  2.775917e-04  -2.627404e-02
2.120000000e-03  -7.404544e-03  -3.812181e-02
2.125000000e-03  -1.181981e-02  -5.010768e-02
2.130000000e-03  -1.224813e-02  -5.188881e-02
2.135000000e-03  -2.322793e-02  -6.045976e-02
2.140000000e-03  -2.625317e-02  -7.260447e-02
2.145000000e-03  -2.793879e-02  -6.865523e-02
2.150000000e-03  -1.822064e-02  -5.350659e-02
2.155000000e-03  -1.857083e-02  -3.907201e-02
2.160000000e-03  -1.901239e-02  -1.918952e-02
2.165000000e-03  6.071012e-03  1.014659e-02
2.170000000e-03  -3.053138e-03  1.107931e-02
2.175000000e-03  5.701233e-03  3.283782e-02
2.180000000e-03  1.322715e-02  5.352764e-02
2.185000000e-03  1.877964e-02  5.972003e-02
2.190000000e-03  2.040262e-02  6.976415e-02
2.195000000e-03  9.874548e-03  6.294664e-02
2.200000000e-03  1.222768e-02  6.353877e-02
2.205000000e-03  4.493089e-03  4.682270e-02
2.210000000e-03  2.686415e-03  3.667392e-02
2.215000000e-03  -2.453177e-03  4.800073e-02
2.220000000e-03  1.268488e-02  5.425692e-02
2.225000000e-03  4.169629e-02  6.740982e-02
2.230000000e-03  3.308711e-02  4.276027e-02
2.235000000e-03  4.860585e-02  4.854695e-02
2.240000000e-03  5.770333e-02  5.154011e-02
2.245000000e-03  4.555679e-02  5.259572e-02
2.250000000e-03  4.345138e-02  3.892129e-02
2.255000000e-03  4.927398e-02  4.513910e-02
2.260000000e-03  4.744660e-02  5.129588e-02
2.265000000e-03  4.905210e-02  8.168640e-02
2.270000000e-03  4.236663e-02  7.516363e-02
2.275000000e-03  3.554380e-02  7.723783e-02
2.280000000e-03  4.598107e-02  1.093602e-01
2.285000000e-03  6.528608e-02  1.169264e-01
2.290000000e-03  5.491930e-02  1.108044e-01
2.295000000e-03  4.302992e-02  1.142879e-01
2.300000000e-03  3.602458e-02  9.074337e-02
2.305000000e-03  3.654633e-02  8.800971e-02
2.310000000e-03  3.025142e-02  6.913040e-02
2.315000000e-03  5.137049e-02  6.913991e-02
2.320000000e-03  6.088503e-02  5.916015e-02
2.325000000e-03  5.207921e-02  5.430929e-02
2.330000000e-03  6.845366e-02  6.564222e-02
2.335000000e-03  7.517928e-02  7.434149e-02
2.340000000e-03  4.758124e-02  8.635263e-02
2.345000000e-03  4.199889e-02  9.266872e-02
2.350000000e-03  1.873530e-02  9.738524e-02
2.355000000e-03  -2.106313e-03  8.730895e-02
2.360000000e-03  -2.642991e-02  8.771218e-02
2.365000000e-03  -2.158815e-02  1.031910e-01
2.370000000e-03  -5.938004e-03  1.331744e-01
2.375000000e-03  3.491337e-03  1.237173e-01
2.380000000e-03  2.089531e-02  1.276697e-01
2.385000000e-03  2.325153e-02  1.356330e-01
2.390000000e-03  1.755300e-02  1.131078e-01
2.395000000e-03  9.613186e-03  8.830513e-02
2.400000000e-03  8.201053e-03  8.679450e-02
2.405000000e-03  1.577464e-02  7.829631e-02
2.410000000e-03  1.450049e-02  7.168797e-02
2.415000000e-03  8.631508e-03  6.188119e-02
2.420000000e-03  1.174536e-02  5.639980e-02
2.425000000e-03  2.145425e-03  7.401267e-02
2.430000000e-03  9.095046e-03  9.328729e-02
2.435000000e-03  2.798328e-02  1.087030e-01
2.440000000e-03  -5.409004e-03  1.019599e-01
2.445000000e-03  2.296790e-03  1.172232e-01
2.450000000e-03  6.375510e-03  1.244298e-01
2.455000000e-03  1.365873e-02  1.207199e-01
2.460000000e-03  1.478069e-02  1.054399e-01
2.465000000e-03  1.233091e-02  9.241737e-02
2.470000000e-03  -3.445585e-03  7.428057e-02
2.475000000e-03  -5.344545e-03  8.067830e-02
2.480000000e-03  -3.869892e-04  9.343479e-02
2.485000000e-03  -1.214098e-02  7.442336e-02
2.490000000e-03  -2.701809e-02  4.644139e-02
2.495000000e-03  -1.109821e-02  4.861548e-02
2.500000000e-03  -3.193296e-03  4.941225e-02
2.505000000e-03  4.807421e-03  6.283501e-02
2.510000000e-03  7.449202e-03  6.003545e-02
2.515000000e-03  1.077267e-02  3.535259e-02
2.520000000e-03  5.473372e-03  3.288895e-02
2.525000000e-03  7.912432e-03  2.425323e-02
2.530000000e-03  -1.800617e-03  5.184346e-03
2.535000000e-03  1.763267e-02  8.322615e-03
2.540000000e-03  4.540187e-02  1.751405e-02
2.545000000e-03  3.993185e-02  3.148333e-03
2.550000000e-03  4.175013e-02  7.255897e-03
2.555000000e-03  3.531268e-02  7.751909e-03
2.560000000e-03  2.576824e-02  8.487145e-03
2.565000000e-03  1.931169e-02  2.267624e-03
2.570000000e-03  1.458025e-02  -7.557807e-03
2.575000000e-03  1.068615e-02  -8.468547e-03
2.580000000e-03  -6.033005e-03  -3.113775e-02
2.585000000e-03  -1.432735e-02  -3.967017e-02
2.590000000e-03  -5.368086e-03  -4.194414e-02
2.595000000e-03  -1.063415e-02  -5.243133e-02
2.600000000e-03  -1.990259e-02  -6.392955e-02
